Read	Standard Algorithm for Addition
 Read	Standard Algorithm for Subtraction
 Read	Standard Algorithm for Multiplication
 Read	Standard Algorithm for Division
 Read	European Algorithm for Subtraction
 Read	Lattice Algorithm for Multiplication
 Read	Common Factors
 Write	Standard Algorithm for Addition
 Write	Standard Algorithm for Subtraction
 Write	Standard Algorithm for Multiplication
 Write	Standard Algorithm for Division
 Write	European Algorithm for Subtraction
 Write	Lattice Algorithm for Multiplication
 Write	Common Factors
 Represent	Standard Algorithm for Addition
 Represent	Standard Algorithm for Subtraction
 Represent	Standard Algorithm for Multiplication
 Represent	Standard Algorithm for Division
 Represent	European Algorithm for Subtraction
 Represent	Lattice Algorithm for Multiplication
 Represent	Common Factors
 Represent with activities	Standard Algorithm for Addition
 Represent with activities	Standard Algorithm for Subtraction
 Represent with activities	Standard Algorithm for Multiplication
 Represent with activities	Standard Algorithm for Division
 Represent with activities	European Algorithm for Subtraction
 Represent with activities	Lattice Algorithm for Multiplication
 Represent with activities	Common Factors
 Represent with words	Standard Algorithm for Addition
 Represent with words	Standard Algorithm for Subtraction
 Represent with words	Standard Algorithm for Multiplication
 Represent with words	Standard Algorithm for Division
 Represent with words	European Algorithm for Subtraction
 Represent with words	Lattice Algorithm for Multiplication
 Represent with words	Common Factors
