Read	Pythagorean Theorem
 Read	Standard Algorithm for Addition
 Read	Standard Algorithm for Subtraction
 Read	Standard Algorithm for Multiplication
 Read	Standard Algorithm for Division
 Read	European Algorithm for Subtraction
 Read	Lattice Algorithm for Multiplication
 Read	Common Factors
 Read	Distributive Property
 Read	Commutative Property
 Read	Associative Property
 Recite	Pythagorean Theorem
 Recite	Standard Algorithm for Addition
 Recite	Standard Algorithm for Subtraction
 Recite	Standard Algorithm for Multiplication
 Recite	Standard Algorithm for Division
 Recite	European Algorithm for Subtraction
 Recite	Lattice Algorithm for Multiplication
 Recite	Common Factors
 Recite	Distributive Property
 Recite	Commutative Property
 Recite	Associative Property
 Write	Pythagorean Theorem
 Write	Standard Algorithm for Addition
 Write	Standard Algorithm for Subtraction
 Write	Standard Algorithm for Multiplication
 Write	Standard Algorithm for Division
 Write	European Algorithm for Subtraction
 Write	Lattice Algorithm for Multiplication
 Write	Common Factors
 Write	Distributive Property
 Write	Commutative Property
 Write	Associative Property
 Represent	Pythagorean Theorem
 Represent	Standard Algorithm for Addition
 Represent	Standard Algorithm for Subtraction
 Represent	Standard Algorithm for Multiplication
 Represent	Standard Algorithm for Division
 Represent	European Algorithm for Subtraction
 Represent	Lattice Algorithm for Multiplication
 Represent	Common Factors
 Represent	Distributive Property
 Represent	Commutative Property
 Represent	Associative Property
 Represent with images	Pythagorean Theorem
 Represent with images	Standard Algorithm for Addition
 Represent with images	Standard Algorithm for Subtraction
 Represent with images	Standard Algorithm for Multiplication
 Represent with images	Standard Algorithm for Division
 Represent with images	European Algorithm for Subtraction
 Represent with images	Lattice Algorithm for Multiplication
 Represent with images	Common Factors
 Represent with images	Distributive Property
 Represent with images	Commutative Property
 Represent with images	Associative Property
 Represent with sounds	Pythagorean Theorem
 Represent with sounds	Standard Algorithm for Addition
 Represent with sounds	Standard Algorithm for Subtraction
 Represent with sounds	Standard Algorithm for Multiplication
 Represent with sounds	Standard Algorithm for Division
 Represent with sounds	European Algorithm for Subtraction
 Represent with sounds	Lattice Algorithm for Multiplication
 Represent with sounds	Common Factors
 Represent with sounds	Distributive Property
 Represent with sounds	Commutative Property
 Represent with sounds	Associative Property
 Represent with activities	Pythagorean Theorem
 Represent with activities	Standard Algorithm for Addition
 Represent with activities	Standard Algorithm for Subtraction
 Represent with activities	Standard Algorithm for Multiplication
 Represent with activities	Standard Algorithm for Division
