<xml>
Grade 	CC Domain	Domain	Sub Domain	Minor Domain	Competancy	Notes
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving addition within 20.	Use objects or drawings to represent addition word problems.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving addition within 20.	Use a part-part-whole model to represent addition word problems.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving addition within 20.	Use a bar model to represent addition word problems.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving addition within 20.	Use an equation with a symbol for the unknown number to represent addition word problems.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 20.	Solve add to addition word problems.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 20.	Solve add to addition word problems with change unknown.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 20.	Solve add to addition word problems with start unknown.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 20.	Solve put together addition word problems.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 20.	Solve put together addition word problems with both addends unknown.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 20.	Solve compare word problems by adding to find a bigger unknown.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 20.	Solve compare word problems using addition to find a missing part.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving addition within 20.	Solve addition word problems with three addends.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving subtraction within 20.	Use objects or drawings to represent subtraction word problems.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving subtraction within 20.	Use a part-part-whole model to represent subtraction word problems.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving subtraction within 20.	Use a bar model to represent subtraction word problems.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Represent word problems involving subtraction within 20.	Use an equation with a symbol for the unknown number to represent subtraction word problems.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving subtraction within 20.	Solve take from subtraction word problems.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving subtraction within 20.	Solve take from subtraction word problems with change unknown.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving subtraction within 20.	Solve take from subtraction word problems with start unknown.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving subtraction within 20.	Solve take apart subtraction word problems.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving subtraction within 20.	Solve compare word problems by subtracting to find how many more.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving subtraction within 20.	Solve compare word problems by subtracting to find how many fewer.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving subtraction within 20.	Solve compare word problems by subtracting to find a smaller unknown.	
1	OA	Operations and Algebraic Thinking	Represent and solve problems involving addition and subtraction.	Solve word problems involving subtraction within 20.	Solve compare word problems involving length.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 10.	Fluently add two numbers within a sum of 10.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 10.	Add 0 to a number 0-10.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 10.	Add 1 to a one-digit number.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 10.	Add doubles from 1-5.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 10.	Use the doubles plus 1 strategy to find sums within 10.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 10.	Use the doubles minus 1 strategy to find sums within 10.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 10.	Use the count on strategy to find sums within 10.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Add within 10.	Use a number line to find sums within 10.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Subtract within 10.	Fluently subtract from a number within 10.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Subtract within 10.	Subtract 0 from a number 0-10.	
1	OA	Operations and Algebraic Thinking	Add and subtract within 20.	Subtract within 10.	Subtract all from a number 0-10.	
